gene	chr	s1	s2
Vitvi01g01868	chr1	1209657	1211516
Vitvi01g00111	chr1	1219825	1221337
Vitvi01g00112	chr1	1226327	1240975
Vitvi01g01869	chr1	1241082	1242515
Vitvi01g00113	chr1	1242559	1244982
Vitvi01g00114	chr1	1245172	1246273
Vitvi01g00115	chr1	1248002	1255067
Vitvi01g00116	chr1	1255887	1263218
Vitvi01g01870	chr1	1270066	1270991
Vitvi01g00119	chr1	1272691	1294023
Vitvi01g00120	chr1	1303631	1315467
Vitvi01g00121	chr1	1315840	1326249
Vitvi01g00122	chr1	1336595	1340490
Vitvi01g00123	chr1	1340790	1343491
Vitvi01g00124	chr1	1343626	1344750
Vitvi01g00126	chr1	1353272	1355573
Vitvi01g00127	chr1	1356065	1356971
Vitvi01g00128	chr1	1360424	1369511
Vitvi01g01871	chr1	1371818	1373123
Vitvi01g01872	chr1	1374170	1375852
Vitvi01g01873	chr1	1379076	1380493
Vitvi01g00129	chr1	1383115	1399022
Vitvi01g00130	chr1	1399723	1417812
Vitvi01g00131	chr1	1418351	1422376
Vitvi01g00132	chr1	1422452	1425232
Vitvi01g00133	chr1	1425345	1426277
Vitvi01g00134	chr1	1426694	1459820
Vitvi01g00135	chr1	1466956	1495344
Vitvi01g01874	chr1	1495794	1499126
Vitvi01g00136	chr1	1500591	1504420
Vitvi01g01875	chr1	1504623	1506031
Vitvi01g00137	chr1	1508112	1513794
Vitvi01g00138	chr1	1514983	1528972
Vitvi01g00139	chr1	1529677	1536720
Vitvi01g01876	chr1	1538835	1545134
Vitvi01g01877	chr1	1547280	1548680
Vitvi01g01878	chr1	1550844	1552963
Vitvi01g01879	chr1	1552992	1554758
Vitvi01g01880	chr1	1558076	1558765
Vitvi01g01881	chr1	1559961	1561101
Vitvi01g01882	chr1	1562652	1563203
Vitvi01g01883	chr1	1563204	1564707
Vitvi01g01884	chr1	1569135	1570145
Vitvi01g00140	chr1	1572784	1582827
Vitvi01g00141	chr1	1582828	1584185
Vitvi01g00142	chr1	1587329	1588006
Vitvi01g00143	chr1	1589441	1597780
Vitvi01g01885	chr1	1600420	1602517
Vitvi01g00144	chr1	1608756	1608905
Vitvi01g00145	chr1	1610195	1620221
Vitvi01g01886	chr1	1620551	1621773
Vitvi01g00146	chr1	1623139	1631340
Vitvi01g00147	chr1	1633680	1634194
Vitvi01g00148	chr1	1634910	1639132
Vitvi01g00149	chr1	1640450	1643816
Vitvi01g00150	chr1	1645909	1648393
Vitvi01g01887	chr1	1651304	1652644
Vitvi01g00151	chr1	1653118	1663082
Vitvi01g00152	chr1	1665068	1669834
Vitvi01g00153	chr1	1676987	1677173
Vitvi01g00154	chr1	1680113	1680580
Vitvi01g00155	chr1	1683505	1691119
Vitvi01g00156	chr1	1692186	1696233
Vitvi01g01888	chr1	1696320	1697692
Vitvi01g01889	chr1	1697963	1700002
Vitvi01g01890	chr1	1700112	1700771
Vitvi01g00157	chr1	1705005	1708618
Vitvi01g00158	chr1	1710141	1715609
Vitvi01g01891	chr1	1716350	1722746
Vitvi01g00159	chr1	1723811	1725892
Vitvi01g00160	chr1	1727314	1732872
Vitvi01g00161	chr1	1743085	1745761
Vitvi01g01892	chr1	1745762	1747709
Vitvi01g00162	chr1	1748090	1751431
Vitvi01g01893	chr1	1751432	1756010
Vitvi01g00163	chr1	1764028	1765353
Vitvi01g00164	chr1	1767734	1770374
Vitvi01g00165	chr1	1773120	1776133
Vitvi01g00166	chr1	1779067	1784585
Vitvi01g00167	chr1	1785225	1793368
Vitvi01g00168	chr1	1797833	1814842
Vitvi01g00169	chr1	1819778	1823835
Vitvi01g01894	chr1	1824408	1824470
Vitvi01g00170	chr1	1824594	1839474
Vitvi01g00171	chr1	1839812	1883889
Vitvi01g00172	chr1	1887669	1890871
Vitvi01g00173	chr1	1891402	1898997
Vitvi01g00174	chr1	1902369	1918922
Vitvi01g00175	chr1	1923817	1927783
Vitvi01g00176	chr1	1931613	1958539
Vitvi01g00178	chr1	1959100	1964933
Vitvi01g00179	chr1	1967827	1970932
Vitvi01g00180	chr1	1973859	1978367
Vitvi01g00181	chr1	1989810	1993774
Vitvi01g00182	chr1	2007069	2038881
Vitvi01g00183	chr1	2041881	2062460
Vitvi01g00184	chr1	2072173	2072634
Vitvi01g00185	chr1	2075903	2076361
Vitvi01g01895	chr1	2077645	2078768
Vitvi01g00186	chr1	2080593	2083952
Vitvi01g00187	chr1	2088597	2090332
Vitvi01g00188	chr1	2095422	2096890
Vitvi01g00189	chr1	2096891	2101462
Vitvi01g00190	chr1	2104263	2125981
Vitvi01g00191	chr1	2131056	2131850
Vitvi01g00192	chr1	2136955	2137455
Vitvi01g01896	chr1	2142149	2143016
Vitvi01g01897	chr1	2145433	2146057
Vitvi01g01898	chr1	2147401	2148062
Vitvi01g01899	chr1	2155460	2156382
Vitvi01g01900	chr1	2157105	2162946
Vitvi01g01901	chr1	2170748	2171523
Vitvi01g01902	chr1	2187245	2188028
Vitvi01g00193	chr1	2189989	2190338
Vitvi01g01903	chr1	2197456	2202144
Vitvi01g00194	chr1	2202585	2203106
Vitvi01g00195	chr1	2219955	2220119
Vitvi01g01904	chr1	2220793	2225459
Vitvi01g01905	chr1	2229131	2235090
Vitvi01g01906	chr1	2235673	2237099
Vitvi01g00196	chr1	2241568	2247260
Vitvi01g00197	chr1	2247360	2248923
Vitvi01g00198	chr1	2251669	2252655
Vitvi01g00199	chr1	2253585	2262124
Vitvi01g00200	chr1	2270149	2273340
Vitvi01g00201	chr1	2273512	2280301
Vitvi01g01907	chr1	2281193	2282179
Vitvi01g00202	chr1	2282180	2285430
Vitvi01g00203	chr1	2286639	2292019
Vitvi01g00204	chr1	2301004	2308453
Vitvi01g01908	chr1	2312371	2313431
Vitvi01g01909	chr1	2316990	2317646
Vitvi01g00205	chr1	2325158	2325325
Vitvi01g00206	chr1	2325449	2326061
Vitvi01g01910	chr1	2326956	2327981
Vitvi01g00207	chr1	2336099	2336432
Vitvi01g01911	chr1	2339822	2340254
Vitvi01g01912	chr1	2344398	2344701
Vitvi01g01913	chr1	2352041	2356540
Vitvi01g01914	chr1	2365383	2365923
Vitvi01g01915	chr1	2369639	2370258
Vitvi01g01916	chr1	2371310	2371656
Vitvi01g01917	chr1	2374422	2375656
Vitvi01g01918	chr1	2383578	2384664
Vitvi01g00208	chr1	2385686	2393813
Vitvi01g01919	chr1	2395238	2400117
Vitvi01g01920	chr1	2402402	2404621
Vitvi01g01921	chr1	2408454	2409576
Vitvi01g00209	chr1	2410917	2411098
Vitvi01g00210	chr1	2419663	2422577
Vitvi01g01922	chr1	2424497	2425150
Vitvi01g01923	chr1	2427700	2428200
Vitvi01g00211	chr1	2429436	2433043
Vitvi01g00212	chr1	2439955	2440125
Vitvi01g00213	chr1	2441257	2441544
Vitvi01g00214	chr1	2445526	2456145
Vitvi01g00215	chr1	2465236	2466074
Vitvi01g00216	chr1	2468191	2475113
Vitvi01g00217	chr1	2476578	2477385
Vitvi01g01924	chr1	2481299	2481907
Vitvi01g00218	chr1	2489259	2492257
Vitvi01g00219	chr1	2495046	2505365
Vitvi01g00220	chr1	2508113	2517361
Vitvi01g00221	chr1	2517659	2519101
Vitvi01g00222	chr1	2525946	2527902
Vitvi01g00223	chr1	2528386	2534483
Vitvi01g00224	chr1	2536230	2541355
Vitvi01g00225	chr1	2542304	2545664
Vitvi01g00226	chr1	2545869	2548088
Vitvi01g01925	chr1	2549536	2550414
Vitvi01g01926	chr1	2553120	2554048
Vitvi01g00227	chr1	2555277	2563371
Vitvi01g00228	chr1	2574437	2576251
Vitvi01g00229	chr1	2582844	2583074
Vitvi01g00230	chr1	2597529	2599224
Vitvi01g00231	chr1	2604097	2604256
Vitvi01g00232	chr1	2605621	2608483
Vitvi01g00233	chr1	2618462	2632570
Vitvi01g00234	chr1	2632996	2635975
Vitvi01g00235	chr1	2646766	2646921
Vitvi01g00236	chr1	2651546	2665672
Vitvi01g01927	chr1	2666162	2676144
Vitvi01g00237	chr1	2677761	2684666
Vitvi01g01928	chr1	2688183	2688596
Vitvi01g00238	chr1	2692094	2698950
Vitvi01g00239	chr1	2699631	2703068
Vitvi01g00240	chr1	2706069	2706236
Vitvi01g01929	chr1	2708028	2711823
Vitvi01g01930	chr1	2714906	2715758
Vitvi01g00241	chr1	2717619	2719410
Vitvi01g00243	chr1	2726628	2743669
Vitvi01g00244	chr1	2751643	2752719
Vitvi01g00245	chr1	2754275	2765791
Vitvi01g00246	chr1	2765922	2767760
Vitvi01g00247	chr1	2770615	2771915
Vitvi01g00248	chr1	2772552	2773588
Vitvi01g00249	chr1	2781320	2783587
Vitvi01g00250	chr1	2786054	2790834
Vitvi01g00251	chr1	2791833	2796654
Vitvi01g00252	chr1	2806798	2878486
Vitvi01g00253	chr1	2879306	2882316
Vitvi01g00254	chr1	2886763	2897640
Vitvi01g00255	chr1	2898680	2906384
Vitvi01g00256	chr1	2909745	2909897
Vitvi01g00257	chr1	2920971	2921289
Vitvi01g00258	chr1	2924763	2926945
Vitvi01g00259	chr1	2928892	2935235
Vitvi01g00260	chr1	2941266	2946275
Vitvi01g00261	chr1	2948153	2949088
Vitvi01g00262	chr1	2950850	2951955
Vitvi01g00263	chr1	2954194	2955800
Vitvi01g00264	chr1	2958052	2959131
Vitvi01g00265	chr1	2967627	2980064
Vitvi01g00266	chr1	2981219	2986284
Vitvi01g00267	chr1	2992340	2996990
Vitvi01g00268	chr1	3007049	3007411
Vitvi01g00269	chr1	3007990	3011483
Vitvi01g00270	chr1	3011569	3013842
Vitvi01g00271	chr1	3014247	3016387
Vitvi01g01931	chr1	3028681	3030154
Vitvi01g00272	chr1	3030155	3040612
Vitvi01g01932	chr1	3044359	3045944
Vitvi01g00273	chr1	3047298	3051177
Vitvi01g00274	chr1	3061289	3065543
Vitvi01g00275	chr1	3065975	3068875
Vitvi01g00276	chr1	3073553	3073883
Vitvi01g00277	chr1	3076979	3080379
Vitvi01g00278	chr1	3084100	3093046
Vitvi01g00279	chr1	3100462	3101809
Vitvi01g01933	chr1	3102947	3104105
Vitvi01g01934	chr1	3112157	3113550
Vitvi01g01935	chr1	3117067	3117615
Vitvi01g00280	chr1	3127785	3132261
Vitvi01g00281	chr1	3141923	3142868
Vitvi01g01827	chr1	3142869	3144296
Vitvi01g00282	chr1	3147476	3149151
Vitvi01g00283	chr1	3166111	3166428
Vitvi01g00284	chr1	3167446	3169200
Vitvi01g00285	chr1	3169747	3169900
Vitvi01g00286	chr1	3175245	3178994
Vitvi01g00287	chr1	3180020	3185492
Vitvi01g00288	chr1	3190682	3193178
Vitvi01g00289	chr1	3194080	3194871
Vitvi01g00290	chr1	3204504	3205665
Vitvi01g00291	chr1	3210258	3211492
Vitvi01g01936	chr1	3217148	3218292
Vitvi01g00292	chr1	3223167	3227782
Vitvi01g01937	chr1	3232043	3232750
Vitvi01g01938	chr1	3235342	3237811
Vitvi01g00293	chr1	3246800	3249704
Vitvi01g01939	chr1	3252972	3256117
Vitvi01g00294	chr1	3265514	3270425
Vitvi01g00295	chr1	3271021	3278166
Vitvi01g00296	chr1	3281798	3283951
Vitvi01g01940	chr1	3297550	3298773
Vitvi01g00298	chr1	3309093	3310130
Vitvi01g01941	chr1	3318059	3319121
Vitvi01g00299	chr1	3324887	3326115
Vitvi01g00300	chr1	3329921	3332345
Vitvi01g01942	chr1	3332397	3333765
Vitvi01g01943	chr1	3338954	3340884
Vitvi01g00301	chr1	3341188	3354059
Vitvi01g01944	chr1	3356459	3358213
Vitvi01g01945	chr1	3358719	3365324
Vitvi01g01946	chr1	3368552	3370302
Vitvi01g00302	chr1	3374744	3376552
Vitvi01g00303	chr1	3380001	3395799
Vitvi01g00304	chr1	3396142	3401075
Vitvi01g00305	chr1	3401665	3403110
Vitvi01g00306	chr1	3405700	3408840
Vitvi01g00307	chr1	3413221	3414134
Vitvi01g00308	chr1	3414350	3414851
Vitvi01g01947	chr1	3416857	3417814
Vitvi01g00309	chr1	3422695	3423360
Vitvi01g00310	chr1	3429360	3441869
Vitvi01g00311	chr1	3442142	3445518
Vitvi01g00312	chr1	3447314	3448222
Vitvi01g01948	chr1	3449471	3450112
Vitvi01g00313	chr1	3451208	3473419
Vitvi01g00314	chr1	3485701	3513021
Vitvi01g00315	chr1	3513239	3515282
Vitvi01g00316	chr1	3517661	3517816
Vitvi01g00317	chr1	3519302	3521940
Vitvi01g00318	chr1	3522780	3525740
Vitvi01g00319	chr1	3530965	3533102
Vitvi01g00320	chr1	3545999	3547664
Vitvi01g00321	chr1	3548887	3552340
Vitvi01g00323	chr1	3554985	3556655
Vitvi01g00324	chr1	3557325	3560627
Vitvi01g00325	chr1	3565027	3569812
Vitvi01g00326	chr1	3578116	3585384
Vitvi01g01949	chr1	3586835	3587725
Vitvi01g01950	chr1	3588383	3588621
Vitvi01g01951	chr1	3595451	3600142
Vitvi01g01952	chr1	3606617	3609494
Vitvi01g00327	chr1	3628643	3638222
Vitvi01g01953	chr1	3652418	3656955
Vitvi01g00328	chr1	3658632	3665505
Vitvi01g00329	chr1	3668907	3670738
Vitvi01g00330	chr1	3675482	3676891
Vitvi01g00331	chr1	3678982	3679755
Vitvi01g00332	chr1	3682253	3683633
Vitvi01g01954	chr1	3697404	3698213
Vitvi01g00333	chr1	3698294	3709039
Vitvi01g00335	chr1	3716009	3718900
Vitvi01g00336	chr1	3720067	3721588
Vitvi01g00337	chr1	3727844	3729975
Vitvi01g00338	chr1	3730674	3741999
Vitvi01g00339	chr1	3742396	3754339
Vitvi01g01955	chr1	3757145	3759848
Vitvi01g01956	chr1	3776554	3783411
Vitvi01g01957	chr1	3785371	3792453
Vitvi01g00340	chr1	3798733	3803625
Vitvi01g01958	chr1	3805625	3806288
Vitvi01g01959	chr1	3806696	3809608
Vitvi01g00341	chr1	3812023	3815328
Vitvi01g00342	chr1	3826036	3828965
Vitvi01g00343	chr1	3829462	3833488
Vitvi01g00344	chr1	3833649	3836717
Vitvi01g00345	chr1	3838284	3845274
Vitvi01g00346	chr1	3849170	3854088
Vitvi01g01960	chr1	3854482	3857576
Vitvi01g00347	chr1	3858749	3862275
Vitvi01g00348	chr1	3875426	3876238
Vitvi01g00349	chr1	3878890	3879796
Vitvi01g00350	chr1	3880446	3882239
Vitvi01g00351	chr1	3882790	3883419
Vitvi01g00352	chr1	3887271	3888440
Vitvi01g00353	chr1	3888919	3889629
Vitvi01g00354	chr1	3891866	3893007
Vitvi01g00355	chr1	3898578	3908155
Vitvi01g00357	chr1	3909357	3915641
Vitvi01g00358	chr1	3917372	3926743
Vitvi01g00359	chr1	3930801	3933226
Vitvi01g00360	chr1	3939316	3943925
Vitvi01g00361	chr1	3945213	3976404
Vitvi01g00362	chr1	3981902	3993537
Vitvi01g00363	chr1	3994677	3996429
Vitvi01g00365	chr1	3999513	4002451
Vitvi01g00366	chr1	4003993	4011033
Vitvi01g00368	chr1	4011194	4016203
Vitvi01g00369	chr1	4016428	4021157
Vitvi01g00370	chr1	4021808	4024516
Vitvi01g01961	chr1	4028628	4031264
Vitvi01g01962	chr1	4031762	4035726
Vitvi01g00371	chr1	4036924	4039540
Vitvi01g01963	chr1	4051139	4052263
Vitvi01g01964	chr1	4058813	4059946
Vitvi01g00372	chr1	4064495	4073111
Vitvi01g00373	chr1	4078694	4083700
Vitvi01g00374	chr1	4084557	4090551
Vitvi01g00375	chr1	4091419	4094089
Vitvi01g00376	chr1	4095394	4103237
Vitvi01g00377	chr1	4103954	4112774
Vitvi01g00378	chr1	4113870	4115775
Vitvi01g00379	chr1	4117106	4118040
Vitvi01g00380	chr1	4119126	4124640
Vitvi01g01965	chr1	4125487	4125839
Vitvi01g01966	chr1	4126810	4127154
Vitvi01g01967	chr1	4127533	4128297
Vitvi01g00381	chr1	4133071	4137760
Vitvi01g00382	chr1	4138810	4147431
Vitvi01g00383	chr1	4150408	4154804
Vitvi01g00384	chr1	4156396	4161380
Vitvi01g00385	chr1	4169937	4171339
Vitvi01g00386	chr1	4174779	4176173
Vitvi01g00387	chr1	4189915	4190085
Vitvi01g00388	chr1	4191130	4191871
Vitvi01g00389	chr1	4193615	4194296
Vitvi01g00390	chr1	4195496	4204502
Vitvi01g00391	chr1	4208980	4214791
Vitvi01g00392	chr1	4215865	4217915
Vitvi01g01968	chr1	4218126	4219756
Vitvi01g00393	chr1	4233140	4235157
Vitvi01g00394	chr1	4242898	4245747
Vitvi01g00395	chr1	4246093	4246670
Vitvi01g00396	chr1	4252164	4252664
Vitvi01g00397	chr1	4261224	4265108
Vitvi01g01969	chr1	4265497	4273850
Vitvi01g00398	chr1	4273851	4277562
Vitvi01g00399	chr1	4278409	4287349
Vitvi01g00400	chr1	4311281	4312304
Vitvi01g00401	chr1	4330134	4331211
Vitvi01g00402	chr1	4353301	4358003
Vitvi01g00403	chr1	4359580	4363135
Vitvi01g00404	chr1	4368112	4385124
Vitvi01g00405	chr1	4388977	4399818
Vitvi01g00406	chr1	4401671	4401964
Vitvi01g01970	chr1	4414030	4419567
Vitvi01g00407	chr1	4423794	4430759
Vitvi01g00408	chr1	4436564	4438206
Vitvi01g01971	chr1	4440844	4441587
Vitvi01g01972	chr1	4445085	4446173
Vitvi01g00409	chr1	4447370	4455012
Vitvi01g00410	chr1	4455102	4455320
Vitvi01g00411	chr1	4474890	4478694
Vitvi01g00412	chr1	4488159	4491412
Vitvi01g00413	chr1	4494130	4527732
Vitvi01g00414	chr1	4546677	4556121
Vitvi01g00415	chr1	4557702	4559021
Vitvi01g01973	chr1	4559022	4562444
Vitvi01g00416	chr1	4564394	4564709
Vitvi01g00417	chr1	4565239	4574807
Vitvi01g01974	chr1	4583083	4585328
Vitvi01g00418	chr1	4585919	4591099
Vitvi01g00419	chr1	4595272	4596399
Vitvi01g00420	chr1	4596746	4605977
Vitvi01g00421	chr1	4612277	4635979
Vitvi01g00422	chr1	4638286	4649293
Vitvi01g00423	chr1	4650629	4654918
Vitvi01g00424	chr1	4661883	4662766
Vitvi01g00425	chr1	4665846	4672718
Vitvi01g00426	chr1	4673733	4683690
Vitvi01g00427	chr1	4685930	4687592
Vitvi01g00428	chr1	4689565	4694603
Vitvi01g00429	chr1	4694609	4696901
Vitvi01g00430	chr1	4707475	4710323
Vitvi01g00431	chr1	4713834	4714109
Vitvi01g00432	chr1	4717215	4721948
Vitvi01g00433	chr1	4722540	4723291
Vitvi01g01975	chr1	4725725	4726431
Vitvi01g00434	chr1	4729364	4732936
Vitvi01g00435	chr1	4735245	4735913
Vitvi01g00436	chr1	4736659	4737012
Vitvi01g00437	chr1	4740067	4740962
Vitvi01g00438	chr1	4742652	4743585
Vitvi01g01976	chr1	4747830	4748946
Vitvi01g01977	chr1	4757253	4758358
Vitvi01g00439	chr1	4765572	4767183
Vitvi01g01978	chr1	4774514	4775637
Vitvi01g00440	chr1	4779355	4780061
Vitvi01g01979	chr1	4790413	4792242
Vitvi01g01980	chr1	4810479	4819002
Vitvi01g01981	chr1	4819636	4821408
Vitvi01g01982	chr1	4828442	4841849
Vitvi01g00441	chr1	4844975	4848668
Vitvi01g00442	chr1	4852608	4856699
Vitvi01g00443	chr1	4858517	4862426
Vitvi01g00444	chr1	4866791	4868198
Vitvi01g01983	chr1	4878809	4879096
Vitvi01g00445	chr1	4879097	4879979
Vitvi01g00446	chr1	4895406	4897178
Vitvi01g00447	chr1	4904254	4911702
Vitvi01g00448	chr1	4912266	4918844
Vitvi01g00449	chr1	4919066	4920197
Vitvi01g00450	chr1	4920310	4928035
Vitvi01g01984	chr1	4928289	4929522
Vitvi01g01985	chr1	4930265	4931059
Vitvi01g00451	chr1	4934650	4948770
Vitvi01g00452	chr1	4953819	4958320
Vitvi01g00453	chr1	4965886	4973902
Vitvi01g00454	chr1	4981754	4982871
Vitvi01g00455	chr1	4989668	5011823
Vitvi01g00456	chr1	5015889	5018170
Vitvi01g00457	chr1	5025547	5026437
Vitvi01g01986	chr1	5030532	5057132
Vitvi01g00458	chr1	5061267	5062111
Vitvi01g00459	chr1	5071393	5072054
Vitvi01g01987	chr1	5078372	5079637
Vitvi01g00460	chr1	5083150	5084212
Vitvi01g00461	chr1	5086256	5086609
Vitvi01g00462	chr1	5086732	5086974
Vitvi01g01988	chr1	5088181	5089193
Vitvi01g01989	chr1	5098543	5099052
Vitvi01g01990	chr1	5102620	5103891
Vitvi01g00463	chr1	5109752	5118063
Vitvi01g00464	chr1	5118465	5121963
Vitvi01g00465	chr1	5123076	5124430
Vitvi01g00466	chr1	5131434	5135125
Vitvi01g00467	chr1	5136500	5138751
Vitvi01g00468	chr1	5138875	5144176
Vitvi01g00469	chr1	5152520	5153683
Vitvi01g00470	chr1	5162440	5162589
Vitvi01g01991	chr1	5190596	5194269
Vitvi01g00471	chr1	5226802	5231220
Vitvi01g00472	chr1	5238800	5272658
Vitvi01g00473	chr1	5284324	5287982
Vitvi01g00474	chr1	5295143	5301197
Vitvi01g00475	chr1	5301675	5304864
Vitvi01g00476	chr1	5314009	5314763
Vitvi01g00477	chr1	5321094	5323092
Vitvi01g00478	chr1	5326458	5334245
Vitvi01g01992	chr1	5334246	5345032
Vitvi01g00479	chr1	5345033	5350061
Vitvi01g00480	chr1	5350539	5350712
Vitvi01g00481	chr1	5367518	5369117
Vitvi01g00482	chr1	5369499	5372982
Vitvi01g00483	chr1	5374347	5375938
Vitvi01g01993	chr1	5389796	5390268
Vitvi01g00484	chr1	5390828	5401687
Vitvi01g00486	chr1	5403208	5412349
Vitvi01g00487	chr1	5414360	5433966
Vitvi01g01994	chr1	5434034	5434186
Vitvi01g00488	chr1	5436989	5476178
Vitvi01g00490	chr1	5476353	5476508
Vitvi01g00491	chr1	5477461	5485437
Vitvi01g00492	chr1	5486133	5493153
Vitvi01g00496	chr1	5495703	5553913
Vitvi01g00497	chr1	5559793	5567218
Vitvi01g00498	chr1	5571516	5580511
Vitvi01g00499	chr1	5581277	5585384
Vitvi01g00500	chr1	5592961	5593942
Vitvi01g01995	chr1	5599545	5605879
Vitvi01g01996	chr1	5607096	5608582
Vitvi01g00501	chr1	5609403	5614975
Vitvi01g00502	chr1	5615776	5621084
Vitvi01g00503	chr1	5627438	5633470
Vitvi01g00504	chr1	5643135	5643737
Vitvi01g00505	chr1	5650808	5659394
