# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Vitvi01g00291	Vitvi01g00291	Vitvi01g00291.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00478	Vitvi01g00478	Vitvi01g00478.t01	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7
Vitvi01g00479	Vitvi01g00479	Vitvi01g00479.t01	protein_coding	0	1	0	9	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	1	0
Vitvi01g00480	Vitvi01g00480	Vitvi01g00480.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Vitvi01g00552	Vitvi01g00552	Vitvi01g00552.t01	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00553	Vitvi01g00553	Vitvi01g00553.t01	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00567	Vitvi01g00567	Vitvi01g00567.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi01g00567	Vitvi01g00567	Vitvi01g00567.t02	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi01g00677	Vitvi01g00677	Vitvi01g00677.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi01g00698	Vitvi01g00698	Vitvi01g00698.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00720	Vitvi01g00720	Vitvi01g00720.t01	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Vitvi01g00721	Vitvi01g00721	Vitvi01g00721.t01	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00775	Vitvi01g00775	Vitvi01g00775.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
Vitvi01g00776	Vitvi01g00776	Vitvi01g00776.t03	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00776	Vitvi01g00776	Vitvi01g00776.t04	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00926	Vitvi01g00926	Vitvi01g00926.t01	protein_coding	0	1	0	5	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0
Vitvi01g00926	Vitvi01g00926	Vitvi01g00926.t02	protein_coding	0	1	0	5	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0
Vitvi01g00955	Vitvi01g00955	Vitvi01g00955.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01259	Vitvi01g01259	Vitvi01g01259.t01	protein_coding	0	0	0	9	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01496	Vitvi01g01496	Vitvi01g01496.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01496	Vitvi01g01496	Vitvi01g01496.t02	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01498	Vitvi01g01498	Vitvi01g01498.t01	protein_coding	0	0	2	19	0	0	1	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	14
Vitvi01g01499	Vitvi01g01499	Vitvi01g01499.t01	protein_coding	0	0	2	17	3	0	0	0	0	0	0	14	0	0	2	0	0	0	0	0	0	0	0	0	0
Vitvi01g01499	Vitvi01g01499	Vitvi01g01499.t02	protein_coding	0	0	2	17	3	0	0	0	0	0	0	14	0	0	2	0	0	0	0	0	0	0	0	0	0
Vitvi01g01512	Vitvi01g01512	Vitvi01g01512.t01	protein_coding	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
Vitvi01g01519	Vitvi01g01519	Vitvi01g01519.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01520	Vitvi01g01520	Vitvi01g01520.t01	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Vitvi01g01521	Vitvi01g01521	Vitvi01g01521.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01552	Vitvi01g01552	Vitvi01g01552.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01612	Vitvi01g01612	Vitvi01g01612.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi01g01613	Vitvi01g01613	Vitvi01g01613.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01736	Vitvi01g01736	Vitvi01g01736.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Vitvi01g01737	Vitvi01g01737	Vitvi01g01737.t01	protein_coding	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01738	Vitvi01g01738	Vitvi01g01738.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01816	Vitvi01g01816	Vitvi01g01816.t01	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01820	Vitvi01g01820	Vitvi01g01820.t01	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1
Vitvi01g01862	Vitvi01g01862	Vitvi01g01862.t01	protein_coding	0	1	1	6	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	1
Vitvi01g01895	Vitvi01g01895	Vitvi01g01895.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Vitvi01g01896	Vitvi01g01896	Vitvi01g01896.t01	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01897	Vitvi01g01897	Vitvi01g01897.t01	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Vitvi01g01898	Vitvi01g01898	Vitvi01g01898.t01	protein_coding	0	0	0	4	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g01902	Vitvi01g01902	Vitvi01g01902.t01	protein_coding	0	0	1	13	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	12
Vitvi01g01992	Vitvi01g01992	Vitvi01g01992.t01	protein_coding	0	0	0	20	7	0	1	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	5
Vitvi01g02007	Vitvi01g02007	Vitvi01g02007.t01	protein_coding	0	0	0	12	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	6
Vitvi01g02012	Vitvi01g02012	Vitvi01g02012.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Vitvi01g02015	Vitvi01g02015	Vitvi01g02015.t01	protein_coding	0	0	0	4	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g02016	Vitvi01g02016	Vitvi01g02016.r01	lincRNA	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi01g02042	Vitvi01g02042	Vitvi01g02042.r01	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi01g02122	Vitvi01g02122	Vitvi01g02122.t01	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Vitvi01g02214	Vitvi01g02214	Vitvi01g02214.t01	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Vitvi01g02256	Vitvi01g02256	Vitvi01g02256.r01	lincRNA	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Vitvi02g00113	Vitvi02g00113	Vitvi02g00113.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00113	Vitvi02g00113	Vitvi02g00113.t02	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00114	Vitvi02g00114	Vitvi02g00114.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Vitvi02g00115	Vitvi02g00115	Vitvi02g00115.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00186	Vitvi02g00186	Vitvi02g00186.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00186	Vitvi02g00186	Vitvi02g00186.t02	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00187	Vitvi02g00187	Vitvi02g00187.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Vitvi02g00189	Vitvi02g00189	Vitvi02g00189.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00195	Vitvi02g00195	Vitvi02g00195.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Vitvi02g00196	Vitvi02g00196	Vitvi02g00196.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00216	Vitvi02g00216	Vitvi02g00216.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Vitvi02g00218	Vitvi02g00218	Vitvi02g00218.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00218	Vitvi02g00218	Vitvi02g00218.t02	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00218	Vitvi02g00218	Vitvi02g00218.t03	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00272	Vitvi02g00272	Vitvi02g00272.t01	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00273	Vitvi02g00273	Vitvi02g00273.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Vitvi02g00274	Vitvi02g00274	Vitvi02g00274.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00315	Vitvi02g00315	Vitvi02g00315.t01	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00316	Vitvi02g00316	Vitvi02g00316.t01	protein_coding	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g00317	Vitvi02g00317	Vitvi02g00317.t01	protein_coding	1	1	1	15	1	0	2	0	0	0	0	5	0	5	1	0	0	0	0	0	0	1	0	1	2
Vitvi02g00566	Vitvi02g00566	Vitvi02g00566.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi02g00567	Vitvi02g00567	Vitvi02g00567.t01	protein_coding	0	1	3	19	0	0	0	0	0	0	0	0	0	18	3	0	0	0	0	0	0	0	0	1	1
Vitvi02g00756	Vitvi02g00756	Vitvi02g00756.t01	protein_coding	1	0	1	4	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	2
Vitvi02g00819	Vitvi02g00819	Vitvi02g00819.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g01005	Vitvi02g01005	Vitvi02g01005.t01	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g01177	Vitvi02g01177	Vitvi02g01177.t01	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g01179	Vitvi02g01179	Vitvi02g01179.t01	protein_coding	0	0	2	5	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	2
Vitvi02g01180	Vitvi02g01180	Vitvi02g01180.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi02g01205	Vitvi02g01205	Vitvi02g01205.t01	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Vitvi02g01206	Vitvi02g01206	Vitvi02g01206.t01	protein_coding	0	1	3	17	0	0	0	0	0	0	0	2	0	12	3	0	0	0	0	0	0	0	0	1	3
Vitvi02g01206	Vitvi02g01206	Vitvi02g01206.t02	protein_coding	0	1	3	17	0	0	0	0	0	0	0	0	0	14	3	0	0	0	0	0	0	0	0	1	3
Vitvi02g01364	Vitvi02g01364	Vitvi02g01364.t01	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
Vitvi03g00084	Vitvi03g00084	Vitvi03g00084.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00089	Vitvi03g00089	Vitvi03g00089.t01	protein_coding	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.r01	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.r02	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.r03	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.r04	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.r05	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.r06	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.r07	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.r08	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00193	Vitvi03g00193	Vitvi03g00193.t02	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00194	Vitvi03g00194	Vitvi03g00194.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00198	Vitvi03g00198	Vitvi03g00198.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00210	Vitvi03g00210	Vitvi03g00210.r01	lincRNA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Vitvi03g00210	Vitvi03g00210	Vitvi03g00210.t01	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Vitvi03g00212	Vitvi03g00212	Vitvi03g00212.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Vitvi03g00217	Vitvi03g00217	Vitvi03g00217.t01	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00218	Vitvi03g00218	Vitvi03g00218.t01	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00220	Vitvi03g00220	Vitvi03g00220.t01	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8
Vitvi03g00221	Vitvi03g00221	Vitvi03g00221.t01	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00221	Vitvi03g00221	Vitvi03g00221.t02	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00405	Vitvi03g00405	Vitvi03g00405.t01	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00486	Vitvi03g00486	Vitvi03g00486.t01	protein_coding	0	0	1	25	0	0	0	0	0	0	0	8	0	17	1	0	0	0	0	0	0	0	0	0	0
Vitvi03g00518	Vitvi03g00518	Vitvi03g00518.t01	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00602	Vitvi03g00602	Vitvi03g00602.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi03g00602	Vitvi03g00602	Vitvi03g00602.t02	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi03g00603	Vitvi03g00603	Vitvi03g00603.t01	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Vitvi03g00604	Vitvi03g00604	Vitvi03g00604.t01	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Vitvi03g00689	Vitvi03g00689	Vitvi03g00689.t01	protein_coding	1	7	4	19	4	0	1	0	0	0	0	11	0	4	4	0	0	0	4	0	0	1	0	4	0
Vitvi03g00690	Vitvi03g00690	Vitvi03g00690.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi03g00691	Vitvi03g00691	Vitvi03g00691.t01	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2
Vitvi03g00703	Vitvi03g00703	Vitvi03g00703.t01	protein_coding	0	0	11	25	0	0	0	0	0	0	0	15	0	10	11	0	0	0	0	0	0	0	0	0	0
Vitvi03g00752	Vitvi03g00752	Vitvi03g00752.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Vitvi03g00757	Vitvi03g00757	Vitvi03g00757.t01	protein_coding	0	0	0	7	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1
Vitvi03g00758	Vitvi03g00758	Vitvi03g00758.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi03g00759	Vitvi03g00759	Vitvi03g00759.t01	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00760	Vitvi03g00760	Vitvi03g00760.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g00791	Vitvi03g00791	Vitvi03g00791.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Vitvi03g00791	Vitvi03g00791	Vitvi03g00791.t02	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Vitvi03g00800	Vitvi03g00800	Vitvi03g00800.t01	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Vitvi03g00801	Vitvi03g00801	Vitvi03g00801.t01	protein_coding	0	1	3	41	0	0	0	0	0	0	0	3	0	36	3	0	0	0	0	0	0	0	0	1	2
Vitvi03g00803	Vitvi03g00803	Vitvi03g00803.t01	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g01085	Vitvi03g01085	Vitvi03g01085.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g01201	Vitvi03g01201	Vitvi03g01201.t01	protein_coding	0	0	1	9	0	0	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	3
Vitvi03g01279	Vitvi03g01279	Vitvi03g01279.t01	protein_coding	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi03g01280	Vitvi03g01280	Vitvi03g01280.t01	protein_coding	0	0	0	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2
Vitvi03g01281	Vitvi03g01281	Vitvi03g01281.t01	protein_coding	0	1	2	7	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	6
Vitvi03g01296	Vitvi03g01296	Vitvi03g01296.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g01297	Vitvi03g01297	Vitvi03g01297.t01	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi03g01343	Vitvi03g01343	Vitvi03g01343.t01	protein_coding	0	0	0	12	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	4
Vitvi03g01343	Vitvi03g01343	Vitvi03g01343.t02	protein_coding	0	0	0	12	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	9
